NDR 0.49, RR 0.00, RA 0.63, AA 0.29
NDR 0.52, RR 0.00, RA 0.45, AA 0.63
NDR 0.28, RR 0.00, RA 0.29, AA 0.27
NDR 0.30, RR 0.00, RA 0.20, AA 0.44
NDR 0.48, RR 0.00, RA 0.50, AA 0.45
NDR 0.42, RR 0.00, RA 0.38, AA 0.48
NDR 0.84, RR 0.00, RA 0.78, AA 0.93
NDR 0.29, RR 0.00, RA 0.18, AA 0.43
NDR 0.47, RR 0.00, RA 0.26, AA 0.81
NDR 0.37, RR 0.00, RA 0.46, AA 0.25
NDR 0.63, RR 0.00, RA 0.64, AA 0.62
NDR 0.23, RR 0.00, RA 0.21, AA 0.26
NDR 0.28, RR 0.00, RA 0.12, AA 0.50
NDR 0.26, RR 0.00, RA 0.15, AA 0.41
NDR 0.26, RR 0.00, RA 0.22, AA 0.31
NDR 0.29, RR 0.00, RA 0.29, AA 0.28
NDR 0.23, RR 0.00, RA 0.20, AA 0.28
NDR 0.26, RR 0.00, RA 0.14, AA 0.41
NDR 0.27, RR 0.00, RA 0.28, AA 0.25
NDR 0.42, RR 0.00, RA 0.30, AA 0.58
NDR 0.30, RR 0.00, RA 0.28, AA 0.34
NDR 1.09, RR 0.00, RA 0.70, AA 1.66
NDR 0.53, RR 0.00, RA 0.20, AA 1.00
NDR 0.73, RR 0.00, RA 0.91, AA 0.47
NDR 0.53, RR 0.00, RA 0.59, AA 0.44
NDR 0.21, RR 0.00, RA 0.16, AA 0.27
NDR 0.27, RR 0.00, RA 0.26, AA 0.28
NDR 0.39, RR 0.00, RA 0.33, AA 0.46
NDR 1.78, RR 0.00, RA 1.22, AA 2.59
NDR 0.24, RR 0.00, RA 0.21, AA 0.28
NDR 0.95, RR 0.00, RA 1.35, AA 0.39
NDR 0.34, RR 0.00, RA 0.34, AA 0.33
NDR 0.22, RR 0.00, RA 0.12, AA 0.34
NDR 0.43, RR 0.00, RA 0.52, AA 0.30
NDR 0.41, RR 0.00, RA 0.38, AA 0.45
NDR 0.25, RR 0.00, RA 0.20, AA 0.32
NDR 0.49, RR 0.00, RA 0.64, AA 0.28
NDR 0.69, RR 0.00, RA 0.85, AA 0.44
NDR 0.52, RR 0.00, RA 0.65, AA 0.35
NDR 0.24, RR 0.00, RA 0.18, AA 0.32
NDR 0.57, RR 0.00, RA 0.68, AA 0.42
NDR 0.24, RR 0.00, RA 0.18, AA 0.34
NDR 0.28, RR 0.00, RA 0.29, AA 0.26
NDR 0.48, RR 0.00, RA 0.34, AA 0.68
NDR 0.66, RR 0.00, RA 0.59, AA 0.76
NDR 1.11, RR 0.00, RA 1.00, AA 1.27
NDR 0.25, RR 0.00, RA 0.25, AA 0.25
NDR 0.33, RR 0.00, RA 0.36, AA 0.27
NDR 0.44, RR 0.00, RA 0.53, AA 0.30
NDR 0.29, RR 0.00, RA 0.29, AA 0.28
NDR 0.84, RR 0.00, RA 0.92, AA 0.73
NDR 1.17, RR 0.00, RA 1.77, AA 0.41
NDR 0.29, RR 0.00, RA 0.22, AA 0.37
NDR 1.32, RR 0.00, RA 1.19, AA 1.51
NDR 1.08, RR 0.00, RA 1.45, AA 0.53
NDR 0.30, RR 0.00, RA 0.31, AA 0.29
NDR 0.62, RR 0.00, RA 0.78, AA 0.44
NDR 0.33, RR 0.00, RA 0.40, AA 0.24
NDR 0.83, RR 0.00, RA 1.09, AA 0.45
NDR 0.37, RR 0.00, RA 0.43, AA 0.27
NDR 1.08, RR 0.00, RA 0.76, AA 1.52
NDR 0.41, RR 0.00, RA 0.29, AA 0.59
NDR 0.59, RR 0.00, RA 0.65, AA 0.51
NDR 0.47, RR 0.00, RA 0.57, AA 0.32
NDR 0.30, RR 0.00, RA 0.24, AA 0.37
NDR 0.37, RR 0.00, RA 0.39, AA 0.35
NDR 0.27, RR 0.00, RA 0.27, AA 0.26
NDR 0.31, RR 0.00, RA 0.31, AA 0.31
NDR 0.45, RR 0.00, RA 0.49, AA 0.40
